"","MSA","min","max","perc"
"207","San Francisco-Oakland-Berkeley, CA",125000,149999,0.0745359789046153
"208","San Francisco-Oakland-Berkeley, CA",2e+05,5e+05,0.279346894707481
"209","Seattle-Tacoma-Bellevue, WA",25000,29999,0.0229865547363825
"210","Seattle-Tacoma-Bellevue, WA",20000,24999,0.0215661826506377
"211","Seattle-Tacoma-Bellevue, WA",15000,19999,0.0217415995497212
"212","Seattle-Tacoma-Bellevue, WA",60000,74999,0.0792007299362189
"213","Seattle-Tacoma-Bellevue, WA",0,10000,0.0439431952125068
"214","Seattle-Tacoma-Bellevue, WA",35000,39999,0.0268697043657354
"215","Seattle-Tacoma-Bellevue, WA",45000,49999,0.0231480897225889
"216","Seattle-Tacoma-Bellevue, WA",125000,149999,0.0816483635748702
"217","Seattle-Tacoma-Bellevue, WA",75000,99999,0.119343436000596
"218","Seattle-Tacoma-Bellevue, WA",10000,14999,0.0216595700645383
"219","Seattle-Tacoma-Bellevue, WA",150000,199999,0.121436449864841
"220","Seattle-Tacoma-Bellevue, WA",2e+05,5e+05,0.195637798177179
"221","Seattle-Tacoma-Bellevue, WA",40000,44999,0.0298505296580759
"222","Seattle-Tacoma-Bellevue, WA",50000,59999,0.0574648093508565
"223","Seattle-Tacoma-Bellevue, WA",1e+05,124999,0.110834454402964
"224","Seattle-Tacoma-Bellevue, WA",30000,34999,0.0226685327322886
"225","Washington-Arlington-Alexandria, DC-VA-MD-WV",15000,19999,0.0198538602259057
"226","Washington-Arlington-Alexandria, DC-VA-MD-WV",125000,149999,0.0895207794456718
"227","Washington-Arlington-Alexandria, DC-VA-MD-WV",1e+05,124999,0.106632894153696
"228","Washington-Arlington-Alexandria, DC-VA-MD-WV",10000,14999,0.0186714588861863
"229","Washington-Arlington-Alexandria, DC-VA-MD-WV",20000,24999,0.0200878247463183
"230","Washington-Arlington-Alexandria, DC-VA-MD-WV",45000,49999,0.0229364895342806
"231","Washington-Arlington-Alexandria, DC-VA-MD-WV",35000,39999,0.020465186876016
"232","Washington-Arlington-Alexandria, DC-VA-MD-WV",75000,99999,0.115685392353889
"233","Washington-Arlington-Alexandria, DC-VA-MD-WV",25000,29999,0.019739813004486
"234","Washington-Arlington-Alexandria, DC-VA-MD-WV",150000,199999,0.131927896998587
"235","Washington-Arlington-Alexandria, DC-VA-MD-WV",40000,44999,0.0237172098514996
"236","Washington-Arlington-Alexandria, DC-VA-MD-WV",0,10000,0.04500211113147
"237","Washington-Arlington-Alexandria, DC-VA-MD-WV",60000,74999,0.0759843805621606
"238","Washington-Arlington-Alexandria, DC-VA-MD-WV",2e+05,5e+05,0.220768166737038
"239","Washington-Arlington-Alexandria, DC-VA-MD-WV",50000,59999,0.0479966892762488
"240","Washington-Arlington-Alexandria, DC-VA-MD-WV",30000,34999,0.0210098462165463
